xx,yy
141.054,164.7
141.054,164.7
141.799,165.354
142.296,165.38
143.78,165.81599999999997
146.679,166.37
148.786,166.018
148.525,165.27
147.16,164.25
147.097,164.205
141.137,163.034
137.929,161.763
135.77,161.586
134.798,161.806
134.059,162.166
132.225,163.07299999999998
129.537,164.49
128.724,164.863
128.476,165.012
128.465,165.02
132.885,165.322
137.04399999999998,164.153
144.135,162.629
149.849,161.373
152.809,160.034
155.195,158.903
158.27100000000002,158.583
159.029,158.22799999999998
160.131,157.847
161.187,157.773
162.915,157.464
164.075,157.002
164.519,156.51
165.447,156.065
167.958,155.747
183.11700000000002,153.015
188.12599999999998,153.12
190.261,153.38
194.062,154.609
199.567,157.675
206.364,161.04
212.06400000000002,163.719
215.878,166.16099999999997
218.378,168.175
222.31599999999997,171.46400000000003
225.128,173.986
227.77599999999998,176.399
229.35299999999998,178.051
233.979,179.97400000000002
235.162,180.047
232.22099999999998,168.987
228.32,165.088
222.07,160.702
220.143,158.29
218.62400000000002,156.97899999999998
216.8,155.817
216.725,155.769
216.745,155.782
223.483,152.46
223.85299999999998,152.279
231.19299999999998,145.872
232.74,142.537
234.66,140.63299999999998
237.24900000000002,138.404
237.358,136.476
236.727,135.345
236.041,134.196
236.68099999999998,133.06799999999998
237.253,131.41899999999998
237.24900000000002,129.404
236.75400000000002,127.48299999999999
236.854,125.025
238.396,122.175
239.83900000000003,119.219
239.71400000000003,115.991
239.602,112.133
242.482,107.10600000000001
243.28599999999997,100.884
241.639,92.2831
241.31599999999997,86.208
242.93,80.8137
243.768,77.1495
244.34599999999998,74.1117
243.899,72.0951
243.291,70.3586
243.515,68.6614
241.08599999999998,66.255
235.71099999999998,62.9654
231.05900000000003,58.8218
228.511,54.8587
226.267,52.081
224.18099999999998,50.9186
223.61900000000003,51.0296
222.01,50.5912
219.505,50.8322
218.125,50.4738
217.21099999999998,51.2852
214.09599999999998,52.503
199.771,64.5568
200.715,68.2604
201.982,71.7452
203.166,74.2864
204.91099999999997,77.1979
208.312,81.9805
210.423,85.5788
212.532,88.8807
214.21099999999998,90.5636
216.86,92.7956
220.412,95.7493
222.47799999999998,97.2977
225.6,99.0848
229.388,100.823
232.14,102.414
235.26,104.65100000000001
239.627,107.78299999999999
245.951,111.531
252.908,115.912
257.888,119.63600000000001
260.483,122.198
264.28700000000003,126.30799999999999
268.23900000000003,131.02700000000002
269.638,134.636
274.344,141.019
276.409,145.012
278.505,148.944
281.20099999999996,154.118
285.441,159.49
290.585,164.33700000000002
295.685,169.475
299.591,174.33599999999998
301.475,177.77200000000002
304.314,182.31400000000002
306.17900000000003,186.362
307.348,189.852
307.867,191.31799999999998
305.31,189.604
302.315,188.66099999999997
299.796,189.396
299.245,190.028
299.281,190.57
299.757,191.24
300.51599999999996,191.703
300.603,191.64700000000002
300.598,192.28599999999997
300.384,192.512
300.737,192.81900000000002
301.144,193.051
300.564,193.16299999999998
299.953,193.358
299.862,193.87099999999998
299.655,193.787
299.703,193.46599999999998
298.558,192.75900000000001
295.361,191.891
288.087,190.175
283.001,188.093
279.426,186.65099999999998
276.324,185.593
273.73,184.702
271.73,185.137
266.57599999999996,186.014
261.439,187.11900000000003
257.377,187.715
251.52700000000002,189.19
244.30200000000002,191.137
238.747,192.26
233.338,193.44400000000002
229.24400000000003,194.11
226.977,194.09799999999998
222.672,194.886
220.236,194.81900000000002
218.22799999999998,193.955
215.58,192.889
249.03799999999998,157.186
250.916,155.089
252.03799999999998,152.09799999999998
252.745,150.32299999999998
253.176,146.917
253.236,144.28
254.213,141.517
255.03900000000002,139.263
255.679,136.878
256.694,133.859
256.003,130.662
256.645,128.33700000000002
256.697,128.252
260.626,120.634
259.28700000000003,113.53
258.992,107.637
261.369,101.976
264.171,97.286
264.47,92.8771
263.776,87.8141
265.532,83.3581
267.34,79.6404
268.58,77.1989
269.404,74.6912
269.82599999999996,72.1074
270.722,69.7124
271.728,67.3975
272.724,64.4271
273.45099999999996,63.2609
273.045,62.6284
269.558,62.3317
268.035,62.1999
271.19599999999997,60.8661
269.654,57.4329
269.68,57.104
267.158,52.7255
264.608,49.1015
265.145,46.4813
265.171,45.0623
264.281,44.4704
263.79900000000004,43.8226
262.851,43.7846
262.777,43.82
263.002,43.1364
263.247,42.5728
263.259,42.568000000000005
263.285,41.8725
263.265,43.3835
263.488,44.2808
275.663,50.9379
276.972,51.7733
278.57599999999996,53.8
279.712,56.0716
282.635,60.4799
286.531,65.8297
289.471,69.665
293.99,75.0508
297.653,79.946
302.928,86.4504
308.603,93.985
312.122,100.345
314.02299999999997,105.66799999999999
316.49,112.936
317.21,117.941
319.673,126.46700000000001
324.476,137.315
327.98900000000003,146.661
331.064,156.248
335.036,164.875
338.79699999999997,173.28799999999998
340.63300000000004,181.68900000000002
341.79,186.245
342.564,187.63299999999998
341.851,187.56799999999998
340.11300000000006,187.455
337.084,186.731
334.56699999999995,186.675
333.46,186.518
332.86699999999996,186.268
332.41900000000004,186.56799999999998
331.962,186.66099999999997
331.457,186.74400000000003
331.533,186.732
331.783,186.65
331.88199999999995,187.016
331.661,186.877
331.144,186.993
331.04900000000004,187.262
331.599,187.912
332.31,188.196
332.39300000000003,188.172
331.999,188.111
331.832,188.24
332.296,187.907
330.49800000000005,186.644
327.54200000000003,185.63099999999997
327.415,185.59599999999998
316.637,179.78
313.408,177.142
310.578,175.093
305.77099999999996,172.09599999999998
305.407,171.735
303.59,171.28
301.79,170.785
301.217,171.12400000000002
298.71299999999997,171.6
294.434,172.00900000000001
290.393,172.517
281.35400000000004,174.122
275.668,175.14700000000002
270.687,176.013
266.702,176.761
262.824,177.968
259.111,179.755
252.674,182.567
246.107,184.739
241.601,185.666
235.56099999999998,186.687
229.952,187.592
225.641,187.83700000000002
221.334,187.937
217.232,188.175
213.243,188.168
208.89700000000002,188.235
206.49400000000003,188.405
203.138,188.02900000000002
201.9,187.169
200.582,186.204
200.515,186.16400000000002
200.533,186.174
203.613,180.43599999999998
207.34099999999998,178.149
211.048,175.763
214.28900000000002,172.726
215.90900000000002,171.05599999999998
216.505,169.951
215.858,157.57399999999998
217.5,154.701
217.262,152.493
217.00099999999998,150.376
218.799,147.091
220.269,144.83700000000002
220.9,141.503
221.185,138.72799999999998
221.704,137.94299999999998
222.803,136.85
224.27,135.287
217.614,132.0
215.933,127.51799999999999
215.37099999999998,122.005
213.805,118.086
212.673,116.009
211.265,113.681
211.39,111.697
211.51,110.08200000000001
203.447,107.039
197.324,103.885
192.92700000000002,101.792
189.90200000000002,100.749
186.983,99.9826
183.78900000000002,99.4931
180.91,99.4077
179.43099999999998,99.5858
173.282,100.56700000000001
165.65,102.214
159.047,104.34200000000001
151.333,106.89299999999999
146.05700000000002,108.686
140.545,111.801
136.963,114.553
131.90200000000002,118.74799999999999
127.336,125.05
120.837,133.976
111.8,143.731
105.19,152.77200000000002
100.245,161.018
95.2159,168.28900000000002
91.0968,175.584
86.9312,184.795
84.5312,188.255
81.5208,190.292
77.9256,191.606
77.1085,191.503
76.8839,191.472
75.8022,191.46900000000002
75.4061,190.852
74.1481,189.547
75.7637,187.679
75.3361,186.037
74.1166,184.17700000000002
72.5199,182.648
72.0824,181.312
71.4059,179.862
80.2939,172.44400000000002
81.9692,170.19099999999997
84.9716,168.42700000000002
87.5692,167.91099999999997
88.0893,167.521
88.5233,167.433
90.3386,167.555
93.0799,167.06900000000002
95.2374,166.951
97.8388,167.575
99.6635,168.372
119.07700000000001,172.601
122.206,173.553
126.16,174.896
129.716,176.30599999999998
132.952,177.94
134.435,178.407
135.881,178.729
137.755,179.365
140.125,179.628
140.702,178.864
140.46,177.261
139.784,175.997
139.382,174.57
136.833,172.31799999999998
135.374,170.55900000000003
133.861,169.378
132.991,168.25900000000001
131.88,167.253
129.73,165.77200000000002
129.063,164.918
128.391,164.43900000000002
130.686,164.21400000000003
133.084,164.065
135.42600000000002,163.253
137.93,162.154
139.914,161.105
141.84,160.642
143.55,160.346
145.241,161.189
147.211,162.278
164.75,167.301
168.045,168.13400000000001
